review_id,user_name,rating,title,review_text,app_version,vote_sum,review_date,app_name,app_slug,platform,store_id
14457042508,Marwati uzal,5,Transfer,Mantap seklai ne wonder,1.6.0,0,2026-08-21T19:19:36-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14455788991,Wirenadi,1,Concern,Gak bisa buka,1.6.0,0,2026-08-21T11:19:05-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14453255915,McKond,5,Mantap,Cepat luar biasa,1.6.0,0,2026-08-20T20:21:36-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14453217825,themaxen,3,Mobile tunai,Mobile tunai gak masuk2 otp nya,1.6.0,0,2026-08-20T20:06:30-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14452612772,R_R797,5,Kepuasan,Sangat baik untuk melakukan Transaksi secara langsung,1.6.0,0,2026-08-20T16:12:16-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14451681364,rismhaynti,1,bdoh,aplikasi taiii,1.6.0,0,2026-08-20T10:34:16-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14448083832,Tikamustika,2,Kesalahan sistem terus,"Setelah upate ios,wonder tidak bisa dibuka selalu kesalahan sistem,Gimana solusi nya?",1.6.0,0,2026-08-19T12:54:19-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14447968221,sponsquare,5,e-statement,"sudah lebih bagus dibandingkan dgn app sebelumnya, tapi di bagian e-statementnya tidak di tampilkan catatan yang ditulis saat melakukan transaksi berbeda dgn BNIMobile yg di bagian e-statementnya, catatan yang ditulis saat melakukan transaksi jg disertakan didalamnya. padahal itu sangat membantu sy krn sy sering menulis catatan saat melakukan transaksi agar memudahkan sy mengingat untuk apa sy melakukan transaksi tersebut.",1.6.0,0,2026-08-19T12:14:21-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14446896715,papaihsan,5,Mantap,Sangat efesien dan gampang,1.6.0,0,2026-08-19T06:48:27-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14446875044,Midi Matondang,4,Cepat dan Aman,Transaksi bisa cepat dan diusahakan agar tetap aman,1.6.0,0,2026-08-19T06:42:14-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14445095145,agungcm,5,Puas,Puas pelayanannya,1.6.0,0,2026-08-18T19:20:29-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14444061749,Cpt.KunKa,2,Burik,"Apk keuangan dongo bermasalah mulu, apk dan keuangan gk worth it",1.6.0,0,2026-08-18T12:48:40-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14443702657,mrhisjam,5,Sukses,Mantaap sangat OK LANCAR,1.6.0,0,2026-08-18T10:48:38-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14443497003,Caliosa,1,.,Setiap mau transaksi diatas jam 11 malem pasti trouble terus saldo kurang padahal sisa banyak,1.6.0,0,2026-08-18T09:44:40-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14441951409,Bis besar,1,Penagihan kartu kredit,Itu cs kartu kredit bni kurang ajar dan kasar kali itu tolong di ajari sopan santun,1.6.0,0,2026-08-18T01:27:12-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14441827796,Ratih_kecil,5,Bagus,Bagus bgt cepat dan tepat waktu,1.6.0,0,2026-08-18T00:35:21-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14441625079,Arthur Susilo,5,Mantap,Transfer mudah n cepat,1.6.0,0,2026-08-17T23:07:18-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14441368508,Jacky aprilio,5,Kilat,Cepat,1.6.0,0,2026-08-17T21:13:41-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14440726102,Teman main dilombok,5,Pembayaran,Sangat mudah dan cepat,1.6.0,0,2026-08-17T17:04:46-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14440478369,Rudatin’s,5,Wonder bni,Terbaik,1.6.0,0,2026-08-17T15:27:52-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14439589449,Abang Daus,5,Hadiah,Transaksi tiap hari poinnya tdk nambah,1.6.0,0,2026-08-17T10:20:00-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14438941542,Reizkyandy,4,Naresh,Ganteng sekali,1.6.0,0,2026-08-17T07:10:57-07:00,wondr by BNI,wondr_bni,app_store,6499518320
14438940002,mak lelong,1,Maling,Culas amat dikasih tau point krt kredit kadaluarsa tingal 3 jam mau tukar tinggal bayar ongkos pengiriman tiba2 krt kredit diblokir sementara kan anjing banget sengaja disuruh hangus biar kaga bisa di tukar,1.6.0,0,2026-08-17T07:10:32-07:00,wondr by BNI,wondr_bni,app_store,6499518320
