review_id,user_name,rating,title,review_text,app_version,vote_sum,review_date,app_name,app_slug,platform,store_id
14457629448,Drtdrtstv,1,mau cek history transaki transfer antar bank tidak ada.,"mestinya semua mbanking pasti ada history transaksi antar bank, semisal lupa ss, bisa buka lagi list transaksi transfer. tp di history tidak muncul, yg muncul hanya tfr ke dana,gojek, token payment.. tp jejal transfer antar bank NOTHING!! uda ikutin saran admin.. reinstall tp tetep gk muncul, yg muncul hanya di email, sdngkn sy butuh sama sprti pas muncul ketika transfer buktinya.",1.53.64,0,2026-08-21T23:31:54-07:00,Allo Bank,allo_bank,app_store,1591223632
14457615290,vdjaksx,5,bermanfaat bgtt,"allo bank punya banyak promoo guysss enak bgtt,pengajuan paylater nya pun cepett dan tarik tunaii berkalu bahkan dana atau qrisss",1.53.64,0,2026-08-21T23:25:43-07:00,Allo Bank,allo_bank,app_store,1591223632
14457430913,allobank not worth it,1,tidak taat ojk,"dilaporkan ke ojk malah ngeles kalo sudah ke alamat domisili..kata penagih,,alamat domisili merupakah opsi",1.53.64,0,2026-08-21T22:03:11-07:00,Allo Bank,allo_bank,app_store,1591223632
14457014409,Eishabil,5,Allo grow,"Skrng ga perlu pusing mikirin cara buat manage uang kebutuhan sehari-hari , ada allo grow , yang applikasinya sangat mudah dipahami, prosesnya cepat. 👍🏻✨",1.53.64,0,2026-08-21T19:08:36-07:00,Allo Bank,allo_bank,app_store,1591223632
14456840582,Dimsky89,1,Crash Terus dan Susah mengajukan limit,"Mau ganti no Hp crash terus, kebanyakan bugs.
Sudah lama ajukan limit paylater di reject terakhir agustus 2025, masa iseng download dan coba ajukan ga bisa juga? Belum update data dll langsung ga bisa aja",1.53.64,0,2026-08-21T18:00:13-07:00,Allo Bank,allo_bank,app_store,1591223632
14452840921,nova fadillah,2,allo bank keren,jujur suka banget pakai allo bank ini,1.53.64,0,2026-08-20T17:42:22-07:00,Allo Bank,allo_bank,app_store,1591223632
14449753752,febrina anatasya,5,allo bank is the best,Menurutku allobank ini sih yang aman bgt dan bisa dipercaya,1.53.64,0,2026-08-19T23:55:11-07:00,Allo Bank,allo_bank,app_store,1591223632
14448744815,Analuvye,5,Allo Bank,"Pake allo deposito disini cukup praktis, bunga di allo deposito dijelaskan secara rinci, informasi untuk tenor nya juga dijelaskan secara detail, jadi jangan ragu untuk buka allo deposito.",1.53.64,0,2026-08-19T17:05:24-07:00,Allo Bank,allo_bank,app_store,1591223632
14447191058,Deaz from indonesia,1,Hati Hati dengan iming2 bunga 0%,"Pinjam 1jt biaya adm 60ribu
Total yang diterima 940ribu
Pelunasa Bayar Tagihan 1jt 50 ribu
Iming iming 0% setelah dicairkan total bunga 10% gila",1.53.64,0,2026-08-19T08:11:32-07:00,Allo Bank,allo_bank,app_store,1591223632
14446242661,Wisnu14_,5,Allo Deposito from Allo Bank,"Suka sama pilihan tenor di Allo Deposito. Prosesnya cepat, praktis, dan aman dalam satu genggaman aplikasi",1.53.64,0,2026-08-19T03:18:52-07:00,Allo Bank,allo_bank,app_store,1591223632
