review_id,app_name,app_slug,platform,store_id,user_name,rating,review_text,thumbs_up,review_date,app_version,dev_reply
b2af2a5b-b602-4979-8eaa-aea06e77f82a,Bank Neo Commerce (BNC),bnc_neobank,google_play,com.bnc.finance,Hendrika Sina,5,yes keren,0,2026-08-22 19:41:35,3.7.01,"Terima kasih banyak atas ulasan positifnya, Kak! 😊 Senang mendengar pengalaman Kakak menyenangkan bersama neobank. Semoga selalu bermanfaat dan sukses selalu ya! 💙_AF
"
623cf057-2757-4e5a-95df-82b12044d80b,Bank Neo Commerce (BNC),bnc_neobank,google_play,com.bnc.finance,aa jawa,5,keren,0,2026-08-22 19:24:50,3.7.01,"Makasih banyak, Kak! Review bintang 5 ini bikin kami makin semangat😸 _HA"
b91e964d-3e49-420a-ab70-160908a51578,Bank Neo Commerce (BNC),bnc_neobank,google_play,com.bnc.finance,Brayen Tuanger,4,"suda tidak jadi masuk,,kenapa?ada uang saya di dalam",0,2026-08-22 19:04:32,3.7.01,"Mohon maaf atas kendala yang Kak Brayen alami. Perihal kendalanya, bisa dibantu informasikan detailnya melalui e-mail resmi kami di customercare@bankneo.co.id ya, Kak. Untuk pengecekan lebih lanjutnya. Terima kasih🙏 _HA"
e6b3eee1-ad9a-479a-94ae-d432448e0f92,Bank Neo Commerce (BNC),bnc_neobank,google_play,com.bnc.finance,Alfiana Desy,5,bagus,0,2026-08-22 18:17:39,3.7.01,"Terima kasih banyak atas ulasan positifnya, Kak! 😊 Senang mendengar pengalaman Kakak menyenangkan bersama neobank. Semoga selalu bermanfaat dan sukses selalu ya! 💙_AF
"
5f87aafa-213e-4e64-b7c3-9eb073ffac9c,Bank Neo Commerce (BNC),bnc_neobank,google_play,com.bnc.finance,mamat rahmat,1,Sangat sulit dengan fitur pinjaman disini.. Promo nya pun tidak menarik.. hapus sajalah.. 😔,0,2026-08-22 17:30:26,,"Mohon maaf sebelumnya ya, Kak Rahmat. Terkait hal tsb, pastikan Kakak sudah memenuhi Syarat dan Ketentuan Neo Pinjam serta memiliki skor kredit baik, ya. Semoga ke depannya Kakak bisa segera menikmati layanan Neo Pinjam. Jangan khawatir, Kakak juga bisa menikmati promo neobank yang tersedia. Terima kasih🙏 _HA"
fa62a5eb-5516-4ad4-9ac9-00c741ae86ff,Bank Neo Commerce (BNC),bnc_neobank,google_play,com.bnc.finance,Pais Gumbili,5,sanak baik,0,2026-08-22 17:01:32,,"Terima kasih Kak Pais, ulasan bintang 5-nya sangat berarti buat kami😸 _HA"
36fa1a3f-4886-4e3b-b794-82bbb5674dec,Bank Neo Commerce (BNC),bnc_neobank,google_play,com.bnc.finance,Hinaraa,5,"proses cepatt bangett,teruss jugaa terpecayaaa amanahh bestt neobankk",0,2026-08-22 16:58:17,,"Terima kasih atas bintang 5-nya, Kak Hinaraa. Semoga makin nyaman nabung dan transaksi di neobank, apalagi ada banyak promo seru tiap bulan 😸_HA"
f56ef73f-8d89-4b96-a92c-77d7c6807f6d,Bank Neo Commerce (BNC),bnc_neobank,google_play,com.bnc.finance,maria goreti Abuk seran,5,bagus sekali layanannya,0,2026-08-22 16:48:51,3.7.01,"Yeay, terima kasih atas ulasan bintang 5-nya, Kak. Semoga makin nyaman nabung dan transaksi di neobank, apalagi ada banyak promo seru tiap bulan😸 _HA"
508298cf-1451-483a-834e-1e37238533c4,Bank Neo Commerce (BNC),bnc_neobank,google_play,com.bnc.finance,Bang Arman,5,bagus banget,0,2026-08-22 16:12:37,3.7.01,"Terima kasih banyak atas ulasan positifnya, Kak! 😊 Senang mendengar pengalaman Kakak menyenangkan bersama neobank. Semoga selalu bermanfaat dan sukses selalu ya! 💙_AF"
16b8df58-de25-4561-bbe8-79e5834d1c2e,Bank Neo Commerce (BNC),bnc_neobank,google_play,com.bnc.finance,Lutful Hamim,5,"tabungan online yang ramah untuk pemula dan gampang digunakan untuk kebutuhan sehari hari, ramah untuk pemula dan aman.",0,2026-08-22 16:01:34,3.7.01,"Terima kasih banyak atas ulasan positifnya, Kak! 😊 Senang mendengar pengalaman Kakak menyenangkan bersama neobank. Semoga selalu bermanfaat dan sukses selalu ya! 💙_AF"
