review_id,app_name,app_slug,platform,store_id,user_name,rating,review_text,thumbs_up,review_date,app_version,dev_reply
1cfed0db-2688-4373-aa83-c8e3db3d52e5,Krom Bank,krom_bank,google_play,com.krom.android,Muh Adi,5,bagus dan terpercaya,0,2026-08-22 20:07:34,1.4.4,
2fd7fa21-a028-4f2a-b4d6-68a92f1fddba,Krom Bank,krom_bank,google_play,com.krom.android,Rully021,5,bagus,0,2026-08-22 20:05:49,,
cfd9c168-f6a1-4251-9128-697cf1b38c24,Krom Bank,krom_bank,google_play,com.krom.android,Tau Pakbelleng,5,"Asli berguna juga appsnya, mudah dijalankan dan bebas iklan, lemot ataupun lelet, jadi sangat nyaman ketika menjelajahi setiap detail fitur-fitur yang terdapat di dalam nya,hanya saja terkadang appsnya agak sulit dibuka dan dioperasikan yaitu pas pada saat koneksi internet lagi kurang stabil, terkadang loadingnya lambat banget dan hanya berputar-putar saja, dan yang lain sesuai pengalaman transaksi sukses, cara memasukkan untuk kedepannya agar yang error segera dibenahi semuanya ya, terimakasih.",0,2026-08-22 19:59:53,1.4.5,
2d14a7c7-2e8d-4ee0-98e4-a79492203504,Krom Bank,krom_bank,google_play,com.krom.android,Lee ghi Gunawan,5,bagus,0,2026-08-22 19:54:51,1.4.5,
a3ae14fd-6737-4b04-8017-cc54fe631ca9,Krom Bank,krom_bank,google_play,com.krom.android,JASAMARINE INDONESIA,5,mudah digunakan,0,2026-08-22 19:37:31,1.4.5,
1ac587cb-20f8-4da5-9491-79bc8c87a62c,Krom Bank,krom_bank,google_play,com.krom.android,Malotong Ko,5,"Oke berguna juga appsnya, mudah dipakai dan gak ribet bebas iklan, bug, atau lelet, cepat bila dijalankan dan mengakses setiap fitur2nya,lagu yg disayangkan pernah juga ketika dipakai terkadang agak sulit membukanya yaitu pas pada saat koneksi internet lagi kurang stabil, terkadang loadingnya lambat banget dan hanya berputar-putar saja, mungkin cuman itu saja hal yang biasa terjadi di apps ini, dan yang lain sesuai pengalaman transaksi sukses,saran dan masukan tuk kedepannya yang error dibenahi.",0,2026-08-22 19:05:33,1.4.5,
04d2fd72-964b-4cbe-9c4a-55645e97fce8,Krom Bank,krom_bank,google_play,com.krom.android,Makuttu Manre,5,"Mudah dipahami dan digunakan, program dan internalnya lebih fleksibel dipakai, bebas iklan ataupun lele cepat bila dijalankan dan mengakses setiap fitur-fiturnya, namun yang disayangkan pernah juga ketika dipakai terkadang agak sulit membukanya yaitu tepat pada saat koneksi internet lagi kurang stabil, terkadang loadingnya lambat banget dan hanya berputar-putar saja, mungkin cuman itu saja hal yang biasa terjadi dan yang lain sesuai pengalaman transaksi sukses, saran agar yg eror dibenahi semua.",0,2026-08-22 18:01:33,1.4.5,
ad8f3d15-4eff-4db5-9bb7-85cde0fe217c,Krom Bank,krom_bank,google_play,com.krom.android,Samuel Thonak,5,"Aplikasi Krom sangat membantu dan responsif! Tampilkannya bersih, fiturnya mudah digunakan, dan jalannya lancar tanpa kendali. Sangat direkomendasikan!",0,2026-08-22 17:48:59,1.4.5,
f0d3f31e-de16-4795-b3c3-825b645a0761,Krom Bank,krom_bank,google_play,com.krom.android,emwin rahman fitroni,5,semoga semakin besar krom,0,2026-08-22 16:45:05,1.4.5,
fa58923e-9fd8-410a-956d-e099aa05c5ad,Krom Bank,krom_bank,google_play,com.krom.android,Peittor Deva,5,jozjiz mantap,0,2026-08-22 16:37:53,1.4.5,
